repetition,cluster_size,batched_send_interval,workload,runtime,tasks,tasks_per_sec,batched_send_interval_ms
1,10,10ms,shuffle,8.611769776000074,22934.0,2663.0995250144974,10
1,10,500ms,shuffle,9.304764609998529,22934.0,2464.7587511623924,500
1,20,2ms,shuffle,21.408136759000627,58500.0,2732.6058618999077,2
1,20,5ms,shuffle,21.630352710999432,58500.0,2704.5328747807093,5
1,20,10ms,shuffle,21.086882349998636,58500.0,2774.236562286496,10
1,20,15ms,shuffle,21.52492889299901,58500.0,2717.7790129205555,15
1,20,20ms,shuffle,21.636132994997748,58500.0,2703.81033493948,20
1,20,30ms,shuffle,21.936305352999625,58500.0,2666.8118928240833,30
1,20,50ms,shuffle,21.692713403001108,58500.0,2696.7580732388574,50
1,20,75ms,shuffle,21.565372779001336,58500.0,2712.682066732586,75
1,20,10ms,shuffle,21.443061584999672,58500.0,2728.1552015372295,10
1,20,500ms,shuffle,21.055107562002377,58500.0,2778.4232318800155,500
1,20,200ms,shuffle,20.61896759799856,58500.0,2837.1934589818393,200
1,50,2ms,shuffle,55.27226836599948,127046.0,2298.548689167819,2
1,50,10ms,shuffle,56.14727776799919,127046.0,2262.7276877955624,10
1,50,15ms,shuffle,55.121339740999254,127046.0,2304.84238222358,15
1,50,5ms,shuffle,56.112504715998504,127046.0,2264.1299054999645,5
1,50,20ms,shuffle,55.243872134000405,127046.0,2299.7301798801363,20
1,50,30ms,shuffle,55.030440164002364,127046.0,2308.6495332651534,30
1,50,75ms,shuffle,55.90494941499856,127046.0,2272.535818911147,75
1,50,50ms,shuffle,55.52783873099906,127046.0,2287.969474473263,50
1,50,500ms,shuffle,55.37517301600018,127046.0,2294.2772560420017,500
1,50,200ms,shuffle,55.182483764998324,127046.0,2302.2885403462747,200
1,50,10ms,shuffle,54.434638238002655,127046.0,2333.9183305402203,10
1,100,2ms,shuffle,119.20399744099994,277520.0,2328.1098449517904,2
1,100,10ms,shuffle,,,,10
1,100,15ms,shuffle,,,,15
1,100,5ms,shuffle,,,,5
1,100,20ms,shuffle,,,,20
